Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Digital Twins, Internet of Things and Mobile Medicine: A Review of Current Platforms to Support Smart Healthcare","Programming and Computer Software","","47","8","10.1134/S0361768821080284","I. VolkovG. RadchenkoA. Tchernykh","2021","http://link.springer.com/article/10.1134/S0361768821080284","Article"
"A distributed task orchestration scheme in collaborative vehicular cloud edge networks","Computing","","","","10.1007/s00607-022-01119-9","Shilpi MittalRajan Kumar DudejaRasmeet Singh BaliGagangeet Singh Aujla","2022","http://link.springer.com/article/10.1007/s00607-022-01119-9","Article"
"Performance analysis of the ubiquitous and emergent properties of an autonomic reflective middleware for smart cities","Computing","","102","10","10.1007/s00607-020-00799-5","Jose AguilarM. JerezM. MendonçaM. Sánchez","2020","http://link.springer.com/article/10.1007/s00607-020-00799-5","Article"
"Bio-inspired Computing Techniques for Data Security Challenges and Controls","SN Computer Science","","3","6","10.1007/s42979-022-01292-w","G SripriyankaAnand Mahendran","2022","http://link.springer.com/article/10.1007/s42979-022-01292-w","Article"
"Internet of Things in Animal Healthcare (IoTAH): Review of Recent Advancements in Architecture, Sensing Technologies and Real-Time Monitoring","SN Computer Science","","1","5","10.1007/s42979-020-00310-z","G. S. KarthickM. SridharP. B. Pankajavalli","2020","http://link.springer.com/article/10.1007/s42979-020-00310-z","Article"
"Internet of Low-Altitude UAVs (IoLoUA): a methodical modeling on integration of Internet of “Things” with “UAV” possibilities and tests","Artificial Intelligence Review","","56","3","10.1007/s10462-022-10225-1","Ashish SrivastavaJay Prakash","2023","http://link.springer.com/article/10.1007/s10462-022-10225-1","Article"
"A multi-agent architecture for scheduling in platform-based smart manufacturing systems","Frontiers of Information Technology & Electronic Engineering","","20","11","10.1631/FITEE.1900094","Yong-kui LiuXue-song ZhangLin ZhangFei TaoLi-hui Wang","2019","http://link.springer.com/article/10.1631/FITEE.1900094","Article"
"A Survey on Security and Privacy Issues in Contact Tracing Application of Covid-19","SN Computer Science","","2","3","10.1007/s42979-021-00520-z","B. SowmiyaV.S. AbhijithS. SudersanR. Sakthi Jaya SundarM. ThangavelP. Varalakshmi","2021","http://link.springer.com/article/10.1007/s42979-021-00520-z","Article"
"IoT-enabled healthcare systems using block chain-dependent adaptable services","Personal and Ubiquitous Computing","","","","10.1007/s00779-021-01584-7","Rajakumar ArulRoobaea AlroobaeaUsman TariqAhmed H. AlmulihiFahd S. AlharithiUmar Shoaib","2021","http://link.springer.com/article/10.1007/s00779-021-01584-7","Article"
"Protection of data privacy from vulnerability using two-fish technique with Apriori algorithm in data mining","The Journal of Supercomputing","","78","16","10.1007/s11227-022-04517-0","D. DhinakaranP. M. Joe Prathap","2022","http://link.springer.com/article/10.1007/s11227-022-04517-0","Article"
"The utilization of algorithms for cloud internet of things application domains: a review","Frontiers of Computer Science","","15","3","10.1007/s11704-019-9056-6","Edje E. AbelMuhammad Shafie Abd Latiff","2021","http://link.springer.com/article/10.1007/s11704-019-9056-6","Article"
"SEOT: Secure dynamic searchable encryption with outsourced ownership transfer","Frontiers of Computer Science","","17","5","10.1007/s11704-022-2017-5","Jianwei LiXiaoming WangQingqing Gan","2023","http://link.springer.com/article/10.1007/s11704-022-2017-5","Article"
"An intelligent internet of things-based secure healthcare framework using blockchain technology with an optimal deep learning model","The Journal of Supercomputing","","77","9","10.1007/s11227-021-03637-3","T. VeeramakaliR. SivaB. SivakumarP. C. Senthil MaheshN. Krishnaraj","2021","http://link.springer.com/article/10.1007/s11227-021-03637-3","Article"
"Micro-batch and data frequency for stream processing on multi-cores","The Journal of Supercomputing","","79","8","10.1007/s11227-022-05024-y","Adriano Marques GarciaDalvan GrieblerClaudio SchepkeLuiz Gustavo Fernandes","2023","http://link.springer.com/article/10.1007/s11227-022-05024-y","Article"
"Towards big services: a synergy between service computing and parallel programming","Computing","","103","11","10.1007/s00607-021-00999-7","Haithem MezniMokhtar SellamiSabeur AridhiFaouzi Ben Charrada","2021","http://link.springer.com/article/10.1007/s00607-021-00999-7","Article"
"ModChain: a hybridized secure and scaling blockchain framework for IoT environment","International Journal of Information Technology","","15","3","10.1007/s41870-023-01218-6","P. PabithaJ. Chandra PriyaR. PraveenS. Jagatheswari","2023","http://link.springer.com/article/10.1007/s41870-023-01218-6","Article"
"Secure Authentication Framework for SDN-IoT network using Keccak-256 and Bliss-B algorithms","International Journal of Information Technology","","15","1","10.1007/s41870-022-01074-w","D. S. SahanaS. H. Brahmananda","2023","http://link.springer.com/article/10.1007/s41870-022-01074-w","Article"
"A Systematic Review on Software Architectures for IoT Systems and Future Direction to the Adoption of Microservices Architecture","SN Computer Science","","1","6","10.1007/s42979-020-00359-w","Abdul Razzaq","2020","http://link.springer.com/article/10.1007/s42979-020-00359-w","Article"
"Design principles, architectural smells and refactorings for microservices: a multivocal review","SICS Software-Intensive Cyber-Physical Systems","","35","1 - 2","10.1007/s00450-019-00407-8","Davide NeriJacopo SoldaniOlaf ZimmermannAntonio Brogi","2020","http://link.springer.com/article/10.1007/s00450-019-00407-8","Article"
