"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Enhancing Privacy and Security in Crowds using Fog Computing","M. M. Almutairi; D. Apostolopoulou; G. Halikias; A. A. Abi Sen; M. Yamin","Deptt. of Electrical and Electronic Engg., School of Math., Comp. Sc. and Engg., London, UK; Deptt. of Electrical and Electronic Engg., School of Math., Comp. Sc. and Engg., London, UK; Deptt. of Electrical and Electronic Engg., School of Math., Comp. Sc. and Engg., London, UK; Deanship of Information Technology, Islamic University, Madinah, Saudi Arabia; Faculty of Economics and Administration, King Abdulaziz University, Jeddah, Saudi Arabia","2022 9th International Conference on Computing for Sustainable Global Development (INDIACom)","2 May 2022","2022","","","57","62","Thousands of crowded events take place every year. Often, management does not properly implement and manage privacy and security of data of the participants and personnel of the events. Crowds are also prone to significant security issues and become vulnerable to terrorist attacks. The aim of this paper is to propose a privacy and security framework for large, crowded events like the Hajj, Kumbh, Arba'een, and many sporting events and musical concerts. The proposed framework uses the latest technologies including Internet of Things, and Fog computing, especially in the Location based Services environments. The proposed framework can also be adapted for many other scenarios and situations.","","978-93-80544-44-1","10.23919/INDIACom54597.2022.9763199","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9763199","Crowd management;privacy;security;fog computing;internet of things;location based services","Location awareness;Data privacy;Privacy;Terrorism;Prototypes;Music;Personnel","data privacy;Internet of Things;location based services;security of data","privacy management;security of data management;Internet of Things;location based service environments;security enhancement;terrorist attacks;personnel;crowded events;privacy enhancement;Fog computing","","1","","37","","2 May 2022","","","IEEE","IEEE Conferences"
"Auction Mechanisms in Cloud/Fog Computing Resource Allocation for Public Blockchain Networks","Y. Jiao; P. Wang; D. Niyato; K. Suankaewmanee","School of Computer Science and Engineering, Nanyang Technological University, Singapore; Lassonde School of Engineering, York University, Toronto, ON, Canada; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Parallel and Distributed Systems","7 Aug 2019","2019","30","9","1975","1989","As an emerging decentralized secure data management platform, blockchain has gained much popularity recently. To maintain a canonical state of blockchain data record, proof-of-work based consensus protocols provide the nodes, referred to as miners, in the network with incentives for confirming new block of transactions through a process of “block mining” by solving a cryptographic puzzle. Under the circumstance of limited local computing resources, e.g., mobile devices, it is natural for rational miners, i.e., consensus nodes, to offload computational tasks for proof of work to the cloud/fog computing servers. Therefore, we focus on the trading between the cloud/fog computing service provider and miners, and propose an auction-based market model for efficient computing resource allocation. In particular, we consider a proof-of-work based blockchain network, which is constrained by the computing resource and deployed as an infrastructure for decentralized data management applications. Due to the competition among miners in the blockchain network, the allocative externalities are particularly taken into account when designing the auction mechanisms. Specifically, we consider two bidding schemes: the constant-demand scheme where each miner bids for a fixed quantity of resources, and the multi-demand scheme where the miners can submit their preferable demands and bids. For the constant-demand bidding scheme, we propose an auction mechanism that achieves optimal social welfare. In the multi-demand bidding scheme, the social welfare maximization problem is NP-hard. Therefore, we design an approximate algorithm which guarantees the truthfulness, individual rationality and computational efficiency. Through extensive simulations, we show that our proposed auction mechanisms with the two bidding schemes can efficiently maximize the social welfare of the blockchain network and provide effective strategies for the cloud/fog computing service provider.","1558-2183","","10.1109/TPDS.2019.2900238","WASP/NTU M4082187(grant numbers:4080); Singapore MOE Tier 1(grant numbers:2017-T1-002-007 RG122/17); MOE Tier 2(grant numbers:MOE2014-T2-2-015 ARC4/15); Singapore(grant numbers:NRF2015-NRF-ISF001-2277); Singapore EMA Energy Resilience(grant numbers:NRF2017EWT-EP003-041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8666727","Blockchain;auction;cloud/fog computing;social welfare;pricing;proof of work;game theory","Blockchain;Resource management;Protocols;Cryptography;Task analysis;Peer-to-peer computing;Approximation algorithms","cloud computing;computational complexity;cryptocurrencies;data mining;distributed databases;electronic commerce;mobile computing;resource allocation;tendering","resource allocation;cloud/fog computing;decentralized secure data management platform;multidemand bidding scheme;constant-demand bidding scheme;decentralized data management applications;auction-based market model;block mining;proof-of-work based consensus protocols;public blockchain networks;auction mechanism","","144","","43","IEEE","13 Mar 2019","","","IEEE","IEEE Journals"
"Fog Function: Serverless Fog Computing for Data Intensive IoT Services","B. Cheng; J. Fuerst; G. Solmaz; T. Sanada","NEC Laboratories Europe, Heidelberg, Germany; NEC Laboratories Europe, Heidelberg, Germany; NEC Laboratories Europe, Heidelberg, Germany; NEC Solution Innovators, Ltd., Tokyo, Japan","2019 IEEE International Conference on Services Computing (SCC)","29 Aug 2019","2019","","","28","35","Fog computing can support IoT services with fast response time and low bandwidth usage by moving computation from the cloud to edge devices. However, existing fog computing frameworks have limited flexibility to support dynamic service composition with a data-oriented approach. Function-as-a-Service (FaaS) is a promising programming model for fog computing to enhance flexibility, but the current event-or topic-based design of function triggering and the separation of data management and function execution result in inefficiency for data-intensive IoT services. To achieve both flexibility and efficiency, we propose a data-centric programming model called Fog Function and also introduce its underlying orchestration mechanism that leverages three types of contexts: data context, system context, and usage context. Moreover, we showcase a concrete use case for smart parking where Fog Function allows service developers to easily model their service logic with reduced learning efforts compared to a static service topology. Our performance evaluation results show that the Fog Function can be scaled to hundreds of fog nodes. Fog Function can improve system efficiency by saving 95% of the internal data traffic over cloud function and it can reduce service latency by 30% over edge function.","2474-2473","978-1-7281-2720-0","10.1109/SCC.2019.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8814084","serverless computing;fog computing;edge computing;IoT services;context driven;programming model","","cloud computing;Internet of Things;service-oriented architecture;Web services","data intensive IoT services;dynamic service composition;data-oriented approach;data management;function execution result;data-intensive IoT services;data-centric programming model;data context;service developers;service logic;static service topology;fog nodes;cloud function;edge function;fog computing frameworks;function-as-a-service;serverless fog computing;fog function","","29","","26","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"A multi-Agent based model for task scheduling in cloud-fog computing platform","F. Fellir; A. El Attar; K. Nafil; L. Chung","Ibn Tofail University, Faculty of Sciences, Kenitra, Morocco; University of Sidi Mohammed Ben Abdellah, Fes, Morocco; ENSIAS, University Mohammed V in Rabat, Morocco; Erick Johnson School of Engineering and Computer Science, University of Texas at Dallas, USA","2020 IEEE International Conference on Informatics, IoT, and Enabling Technologies (ICIoT)","11 May 2020","2020","","","377","382","The Internet-of-Things (IoT) is a network of physical objects that communicate and exchange data between them over the Internet. These objects, or things, generate a massive amount of data that require powerful analytics approaches and data storage platforms - this is where cloud computing may well come into play. The classic cloud computing paradigm, however, faces several serious issues, due to centralization, such as low performance, latency issues, security issues, bandwidth obstacle, etc.. The Fog (Edge) computing paradigm has been proposed to improve the performance and to address other weaknesses, by providing IoT data processing and storage capabilities locally at the edges (IoT devices), instead of sending all the data to the centralized cloud. Whether in cloud or in fog computing, with billions of devices and a huge number of simultaneous requests, managing limited resources becomes essential. One of the important steps in resource management is task scheduling. In this paper, we consider task scheduling in a cloud-fog computing platform, we propose a multi-agent based model that aims at serving the most important task first, taking into consideration the task priority, its wait time, its status and the resources required to complete it successfully. Furthermore, in the scheduling process, we first propose an update to the priority value of the task, while taking into consideration its dependencies to other tasks and their priorities. Simulation results show that our proposed model can lead to better resource utilization and improve performance.","","978-1-7281-4821-2","10.1109/ICIoT48696.2020.9089625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9089625","Internet of things;cloud computing;fog computing;Task Scheduling model;Priority;multi-agent","Task analysis;Cloud computing;Processor scheduling;Dynamic scheduling;Heuristic algorithms;Edge computing","cloud computing;Internet of Things;multi-agent systems;scheduling","cloud computing paradigm;latency issues;security issues;fog computing paradigm;IoT devices;centralized cloud;task scheduling;cloud-fog computing platform;multiagent based model;task priority;scheduling process;Internet-of-Things","","14","","32","IEEE","11 May 2020","","","IEEE","IEEE Conferences"
"From cloud computing to fog computing: two technologies to serve iot–a review-","M. E. IDRISSI; O. ELBEQQALI; J. RIFFI","Computer Science, Imagery and Numerical Analysis Labratory, Sidi Mohamed Ben Abdellah university, Fez, Morocco; Computer Science, Imagery and Numerical Analysis Labratory, Sidi Mohamed Ben Abdellah university, Fez, Morocco; Computer Science, Imagery and Numerical Analysis Labratory, Sidi Mohamed Ben Abdellah university, Fez, Morocco","2019 IEEE International Smart Cities Conference (ISC2)","20 Apr 2020","2019","","","272","279","The emergence of IoT (Internet of Things) systems brings several development opportunities to many vital fields such as healthcare, agriculture, smart building, smart cities, environment monitoring, and transport-logistic domain. The amount of data generated by IoT is increasing rapidly, which creates many research challenges in data management chain, furthermore, transmission of such amount of data requires large bandwidth, and produces significant delay. The contribution of this paper is to give a starting point to new searchers interested in IoT data management topic. Thus, we draw up a review of IoT technology, and show its impact on big data evolution, then show how fog computing, as a new paradigm, can contribute to IoT development. Firstly, RFID (Radio Frequency identification) technology is presented, then the integration of big data with IoT systems is discussed, numerous existing cloud IoT infrastructures are inventoried later, followed by a presentation of fog computing advantages and open challenges.","2687-8860","978-1-7281-0846-9","10.1109/ISC246665.2019.9071674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071674","Internet of things;Cloud of things;BigData;Cloud computing;Fog computing","Edge computing;Big Data;Radiofrequency identification;Internet of Things;Cloud computing;Monitoring","Big Data;cloud computing;Internet of Things;radiofrequency identification","IoT technology;big data evolution;RFID technology;Internet of Things;data management chain;cloud IoT infrastructures;fog computing","","4","","52","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"An Intelligent Decision Support Model for Emergency Management in the Fog Computing Environment","O. A. Hussein; A. H. Mousa","College of Computer Science and Information Technology, University of Kerbala, Karbala, Iraq; College of Computer Science and Information Technology, University of Kerbala, Karbala, Iraq","2022 International Conference on Data Science and Intelligent Computing (ICDSIC)","27 Mar 2023","2022","","","278","283","Numerous emergencies have happened recently on a worldwide scale, necessitating and occasionally requiring relevant decision-makers to focus excessively on the decision-making process. Due to the fact that decision support systems (DSS) combine data and knowledge from many domains and sources, analyze them, and store the results in the cloud to give the right users useful information to aid in decision-making, data is regarded as a core component in the design of DSS. Dealing with such enormous volumes of data results in increased mistakes, packet loss, and a high likelihood of data congestion, which is a drawback of traditional methods of storing massive amounts of data in the cloud. Therefore, before transferring data to decision support apps or sending it again to the cloud, processing, initializing, and preparing it in the fog computing environment is a necessary and appropriate option. An intelligent model for decision support applications in a fog computing environment was put out in this study. Expert review and focus group talks were employed as validation procedures in terms of relevancy and understanding of the proposed model. The observed results support the relevance and understanding of the proposed model's elements. A prototype based on the suggested model was developed to verify its validity, and its usability was then evaluated. The gathered data also supported the prototype's usefulness and decision-supporting abilities.","","979-8-3503-3488-3","10.1109/ICDSIC56987.2022.10075836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075836","Fog Computing;Decision Support System;Data Management;Model Design;Internet of Things;Decision Making","Decision support systems;Computational modeling;Decision making;Prototypes;Packet loss;Real-time systems;Internet of Things","decision making;decision support systems;emergency management","data congestion;data results;decision support applications;decision support apps;decision support systems;decision-making process;decision-supporting abilities;DSS;emergency management;focus group talks;fog computing environment;intelligent decision support model;intelligent model;numerous emergencies;observed results;relevancy;relevant decision-makers;right users useful information;worldwide scale","","","","46","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
"A Survey on Data Integrity Checking and Enhancing Security for Cloud to Fog Computing","K. U. Maheswari; S. M. S. Bhanu; S. Nickolas","Department of CSE, National Institute of Technology, Tiruchirappalli, India; Department of CSE, National Institute of Technology, Tiruchirappalli, India; Department of CA, National Institute of Technology, Tiruchirappalli, India","2020 2nd International Conference on Innovative Mechanisms for Industry Applications (ICIMIA)","23 Apr 2020","2020","","","121","127","Cloud computing plays an important role in the computing world as it provides a cost-effective way of delivering services to customers through the internet. The Cloud Service Providers (CSPs) offer an enormous amount of storage space with low cost and eliminates the data management burden of the customers. As the operational details are not transparent, the CSPs may be untrusted. They may steal the user data, tamper the data, remove the rarely accessed data or hide the data loss by duplicating the data. In such cases, data integrity fails and needs to be addressed. The emerging fog computing paradigm extends the cloud platform to provide services for IoT applications. So the data integrity verification techniques are not only to be incorporated over the cloud but also to be extended for fog computing. This survey discusses the various data integrity checking methodologies for both cloud and fog environment.","","978-1-7281-4167-1","10.1109/ICIMIA48430.2020.9074890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9074890","data integrity;cloud computing;fog computing;authentication structure","Cloud computing;Servers;Data integrity;Peer-to-peer computing;Edge computing;Authentication;Metadata","cloud computing;data integrity;Internet of Things","data management;CSPs;data loss;fog computing paradigm;cloud platform;data integrity verification;fog environment;cloud computing;computing world;cloud service providers;storage space;data integrity checking","","2","","25","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"A Nearest Neighbors based Data Filter for Fog Computing in IoT Smart Agriculture","F. M. Ribeiro; R. Prati; R. Bianchi; C. Kamienski","Federal University of ABC Federal Institute of Maranhão; Federal University of ABC, Santo André, Brazil; Centro Universitário FEI, São Bernardo do Campo, Brazil; Federal University of ABC, Santo André, Brazil","2020 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor)","8 Dec 2020","2020","","","63","67","In smart agriculture, the Internet of Things (IoT) makes it possible to analyze and manage agricultural yield to increase productivity, reduce wasted resources, and decrease irrigation costs. In IoT systems, if data management is entirely performed in the cloud, the system may not work correctly due to connectivity problems, which is common in some remote regions where the agribusiness thrives. A fog computing solution enables the IoT system to process data faster and deal with intermittent connectivity. However, a high number of packets sent from the fog to the cloud can cause link congestion with mostly useless data traffic. Dealing with fog data filtering is a challenge because it requires knowing which data is essential to send to the cloud. This paper proposes an approach to collect and store data in a smart agriculture environment and two different methods filtering data in the fog. We designed an experiment for each filtering method, using a real dataset containing temperature and humidity values. In both experiments, the fog filters the data using the k-Nearest-Neighbors (kNN) algorithm, which classifies data into categories according to their value ranges. In the first experiment, the fog classifies the data and generates an output of the number of data categories. In the second experiment, data is classified and also compressed based on the previously obtained categories using the runlength encoding (RLE) technique to preserve the data time series nature. Our results show that data filtering reduces the amount of data sent by the fog to the cloud.","","978-1-7281-8783-9","10.1109/MetroAgriFor50201.2020.9277661","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9277661","smart agriculture;fog computing;Internet of things;data filtering;machine learning","Agriculture;Cloud computing;Sensors;Humidity;Edge computing;Training;Temperature distribution","agriculture;data compression;data mining;distributed processing;Internet of Things;nearest neighbour methods;pattern classification;runlength codes;time series","useless data traffic;fog data filtering;smart agriculture environment;filtering method;humidity values;k-nearest-neighbors algorithm;data time series;data filter;IoT smart agriculture;agricultural yield;IoT system;data management;connectivity problems;fog computing solution;intermittent connectivity;data filtering;runlength encoding","","9","","17","IEEE","8 Dec 2020","","","IEEE","IEEE Conferences"
"Design of Smart Dashboard based on IoT & Fog Computing for Smart Cities","M. Patel; A. Mehta; N. C. Chauhan","Computer Engineering Department, Devang Patel Institute of Advance Technology and Research (DEPSTAR), CHARUSAT, Anand, India; Information Technology Dept., Shankersinh Vaghela Bapu Institute of Technology (SVBIT), Ahemadabad, India; Information Technology Dept., A D Patel Institute of Technology, Anand, India","2021 5th International Conference on Trends in Electronics and Informatics (ICOEI)","21 Jun 2021","2021","","","458","462","In smart city concept, the various aspects of citizens' life can be facilitated with the design of smart transport, smart parks, smart homes, smart healthcare, etc. The various components of smart city architecture are designed as a large network and the data management can be provided with all types of privacy to citizens. In this paper, dashboard is designed which combines open-source tools and web technologies including servers, sensors and various applications. These data collections are considered as a mechanism which can display summary of a city to visualize in a single view, and it can assist citizen to track and analyze the current state in city. In this paper, we have presented smart city framework using IoT based architecture. The existing dashboard solutions are also provided to analyze the various aspects of dashboard in detail. The dashboard discussed in this paper is able to provide following information: i) basic & environment information services ii) advanced services such as healthcare, public transport & parking system services. The working of smart dashboard can be implemented by introducing the architecture & system design of smart dashboard. The proposed smart dashboard is designed with its detailed functionalities in this paper.","","978-1-6654-1571-2","10.1109/ICOEI51242.2021.9452744","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9452744","IoT;Cloud computing;Fog computing;Dashboard;Smart city;Machine learning;Visualization","Smart cities;Computer architecture;Medical services;Smart homes;Reinforcement learning;Tools;Market research","Internet;Internet of Things;smart cities","smart dashboard;smart cities;smart city concept;smart transport;smart parks;smart homes;smart healthcare;smart city architecture;smart city framework;architecture & system design","","2","","17","IEEE","21 Jun 2021","","","IEEE","IEEE Conferences"
"A Framework of IOT Service Assignment To Mitigate The Service Latency With Collaboration Of Fog and Cloud","V. Nivedita; N. N. Gopal","Computer Science and Engineering, Star Lion College of Engineering and Technology, Thanjavur, India; Computer Science and Engineering, Star Lion College of Engineering and Technology, Thanjavur, India","2019 IEEE International Conference on Electrical, Computer and Communication Technologies (ICECCT)","17 Oct 2019","2019","","","1","7","With exponential growth of vast amount of data or traffic or information from various heterogeneous IOT devices stumbles the network as a result the response time of data delivery from cloud to end IOT devices turns to high latency, network traffic, data congestion, consume high bandwidth, huge power consumption curb the development of IOT specifically in the time sensitive applications. For instance health related services, and traffic light systems, etc. In order to cope up with mass connections, surplus data management, and resource allocation for billions of IOT devices the new paradigm has been emerged known as Fog Computing also called edge computing (fog means closer to ground). In fog computing resource allocation the main challenge is considered in this paper. The following challenges in resource allocation are i) IOT devices might be shortcomings in their capacity (eg: data, processor, memory, CPU, bandwidth, etc), ii) shortcoming in their network resources, iii) increased latency or response time to the centralized data server from IOT devices. By considering the following issues we have presented the model or architecture for IOT service delegation to mitigate the network latency and improve the Quality of Service(QOS) and proposed algorithm for optimizing in terms of capacity and big data distribution among fog and cloud computing.","","978-1-5386-8158-9","10.1109/ICECCT.2019.8869238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869238","fog computing;cloud computing;IOT;latency;QOS","Cloud computing;Internet of Things;Edge computing;Bandwidth;Security;Reliability;Data centers","Big Data;cloud computing;Internet of Things;quality of service;resource allocation","service latency;heterogeneous IOT devices;data delivery;network traffic;data congestion;surplus data management;fog computing resource allocation;network resources;centralized data server;IOT service delegation;big data distribution;cloud computing;IOT service assignment","","","","10","","17 Oct 2019","","","IEEE","IEEE Conferences"
"Remote health monitoring system of elderly based on Fog to Cloud (F2C) computing","H. Saidi; N. Labraoui; A. A. A. Ari; D. Bouida","STIC Lab, University of Tlemcen, Tlemcen, Algeria; LI-PaRAD Lab, University of Versailles, Saint-Quentin-en-Yvelines, France; LI-PaRAD Lab, University of Versailles, Saint-Quentin-en-Yvelines, France; Faculty of Science, University of Tlemcen, Tlemcen, Algeria","2020 International Conference on Intelligent Systems and Computer Vision (ISCV)","23 Sep 2020","2020","","","1","7","The majority of older persons are challenged by chronic illnesses, so more innovations are needed for geriatric care. Therefore, technological and modern techniques have been adopted to improve the elderly's health. Different computing solutions have been deployed to store and process the health data such as cloud computing which provides powerful computing resources. However, connecting different kind of things directly to the cloud is inefficient. Fortunately, fog computing has emerged as a new computing solution to complement cloud, it allows computation and data storage closer to the IoT devices. However, managing health data stored in fog computing presents a major issue. It is necessary to consider the importance of performance, availability, storage, and privacy of data in fog computing. In this paper, we propose architecture based on Fog to Cloud computing which is a novel solution and innovative approach that contribute to enhance the synergy between the cloud and fog computing to facilitate the management of elderly health data. To analyze the performance of our model in Fog to Cloud environment, FogWorkflowSim toolkit has been used.","","978-1-7281-8041-0","10.1109/ISCV49265.2020.9204096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204096","Elderly people;Cloud computing;Fog computing;F2C computing;Medical Data","Cloud computing;Senior citizens;Edge computing;Computational modeling;Data privacy;Computer architecture;Real-time systems","cloud computing;data privacy;geriatrics;health care;Internet of Things;medical information systems;patient monitoring","remote health monitoring system;cloud computing;fog computing;data storage;health data management;elderly health data;fog to cloud computing;F2C computing;FogWorkflowSim toolkit","","5","","34","IEEE","23 Sep 2020","","","IEEE","IEEE Conferences"
"A Novel Framework for Fog Computing: Lattice-Based Secured Framework for Cloud Interface","G. Kumar; R. Saha; M. K. Rai; R. Thomas; G. Geetha; T. -H. Kim; J. J. P. C. Rodrigues","Department of Computer Science and Engineering, Lovely Professional University, Phagwara, India; Department of Computer Science and Engineering, Lovely Professional University, Phagwara, India; Department of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, India; Division of Research and Development, Lovely Professional University, Phagwara, India; Department of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Economics and Managment, Beijing Jiaotong University, Beijing, China; PPGEE, Federal University of Piauí, Teresina, Brazil","IEEE Internet of Things Journal","12 Aug 2020","2020","7","8","7783","7794","Interconnection and intercommunication between people, processes, and things have been enhanced with the development of the Internet of Things (IoT) and extended with fog computing for better efficiency. Fog computing improves the network services and circumvents the problem of escalated data management as an interface between cloud and terminal with the requirement of secure data transmission. In this article, a novel security framework is designed for fog computing intended for improving the security of IoT. This framework uses single point of aggregation from fog interface and lattice cryptographic approach to establish the security for the services. Azure cloud platform and Sage lattice cryptographic base have been employed to evaluate the performance of the framework. It is noticed that the Level 1-Level 2 (L1–L2) cache implementation in the system significantly improves the efficiency of the framework. The results show that the proposed framework is robust in preventing attacks on fog nodes and additionally provides an advantage for low communication overhead.","2327-4662","","10.1109/JIOT.2020.2991105","FCT/MCTES through national funds and when applicable co-funded EU funds(grant numbers:UIDB/EEA/50008/2020); Brazilian National Council for Research and Development (CNPq)(grant numbers:309335/2017-5); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079898","Cryptography;data;fog;Internet of Things (IoT);keys;latency;lattice","Cloud computing;Edge computing;Computer architecture;Internet of Things;Cryptography","cache storage;cloud computing;cryptography;security of data","lattice cryptographic approach;fog nodes;fog computing;lattice-based secured framework;cloud interface;escalated data management;secure data transmission;security framework;fog interface;Azure cloud platform;Sage lattice cryptographic base","","4","","58","IEEE","28 Apr 2020","","","IEEE","IEEE Journals"
"A Cost-Aware Resource Management Technique for Cloud and Edge Environment","H. Ebrahimiyan; A. Balador; T. S. Nikoui","Department of Computer Engineering and Information Technology, Urmia University, Tabriz, Iran; RISE Research Institute of Sweden, Västerås, Sweden; Department of Computer Engineering, Science and Research Branch, Islamic Azad University, Tehran, Iran","2022 IEEE 21st Mediterranean Electrotechnical Conference (MELECON)","3 Aug 2022","2022","","","1165","1170","Fog computing plays an important role to improve the efficiency of time-sensitive applications, cost reduction, and proper data management. In this paper, the above goals are made possible by processing some time-sensitive data and aggregating the rest of the data, by the modules in the fog data manager and associated storage servers, before sending it to the cloud servers. In this paper, we set the optimal workload allocation to the cloud and fog system by considering the compromise between costs of energy consumption of cloud and fog system, transfer bandwidth and revenue losses due to the WAN propagation delay, and time constraints in the Fog and Cloud system. The mixed linear programming obtained by IBM ILOG CPLEX software is solved to achieve the lowest possible cost by optimally allocating loads to fog devices and cloud servers. In addition, we show that using this approach, the total cost can be reduced by about 29%.","2158-8481","978-1-6654-4280-0","10.1109/MELECON53508.2022.9842978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842978","Fog computing;Optimal workload allocation;Mixed linear programming;Data management","Wide area networks;Costs;Computational modeling;Distributed databases;Energy efficiency;Data models;Software","cloud computing;cost reduction;integer programming;linear programming;optimisation;resource allocation","cost-aware resource management technique;edge environment;Fog computing;time-sensitive applications;cost reduction;proper data management;time-sensitive data;fog data manager;associated storage servers;cloud servers;optimal workload allocation;fog system;energy consumption;transfer bandwidth;revenue losses;WAN propagation delay;time constraints;IBM ILOG CPLEX software;lowest possible cost;fog devices","","","","19","IEEE","3 Aug 2022","","","IEEE","IEEE Conferences"
"Reducing IoT Bandwidth Requirements by Fog-Based Distributed Hash Tables","A. Rabay'a; P. Kudla; L. Kubitza; K. Graffi; M. Schöttner","Institute of Computer Science, Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Computer Science, Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Computer Science, Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Computer Science, Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Computer Science, Heinrich Heine University Düsseldorf, Düsseldorf, Germany","2020 4th Conference on Cloud and Internet of Things (CIoT)","5 Nov 2020","2020","","","25","32","Internet-of-Things (IoT) devices often rely on cloud services for computations and data management. As the number of IoT devices is growing fast, the Internet connection to the cloud data-center can become a bottleneck regarding bandwidth and latency. Fog computing has been introduced by Cisco to address these challenges. The proposed peer-to-peer (p2p) Fog model allows fog-nodes to cooperate and reduce the bandwidth requirement to the cloud and the system as a whole. In this publication we evaluate Pastry and CAN for implementing a DHT on fog nodes compared to implementing Chord on fog nodes. The simulation shows that Pastry offers better results in terms of bandwidth consumption compared to non-cooperative Fog computing, Chord Fog, and CAN Fog models. The overall reduction in bandwidth reflects as well to reduction in costs.","","978-1-7281-9541-4","10.1109/CIoT50422.2020.9244294","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244294","Cloud computing;Fog computing;Internet-of-Things;Peer-to-peer;Bandwidth;Simulation","Cloud computing;Computational modeling;Bandwidth;Peer-to-peer computing;Internet of Things;Time factors;Edge computing","cloud computing;computer centres;Internet of Things;peer-to-peer computing","IoT bandwidth requirements;Fog-based distributed hash tables;Internet-of-Things devices;cloud services;data management;IoT devices;Internet connection;cloud data-center;peer-to-peer fog model;fog nodes;bandwidth consumption;Chord Fog;CAN Fog models;p2p fog model;Pastry;noncooperative fog computing;noncooperative fog computing","","","","21","IEEE","5 Nov 2020","","","IEEE","IEEE Conferences"
"A review of IoT architectures in smart healthcare applications","M. Arbaoui; M. -E. -A. Brahmia; A. Rahmoun","LabRi-SBA Laboratory, École Supérieure d'Informatique, Sidi Bel-Abbes, Algeria; CESI LINEACT UR 7527, CESI Engineering School, Strasbourg, France; LabRi-SBA Laboratory, École Supérieure d'Informatique, Sidi Bel-Abbes, Algeria","2022 Seventh International Conference on Fog and Mobile Edge Computing (FMEC)","14 Mar 2023","2022","","","1","8","The Internet of Things (IoT) is revolutionizing numerous industries, including healthcare services, known as the Internet of Medical Things (IoMT). A large amount of generated data in IoMT applications need to be transmitted, analyzed, and stored. Consequently, the cloud-only architecture was proposed as being the best-fit organizational infrastructure. Indeed, cloud capabilities of processing, networking, and storage are overwhelming properties that make it outperform classical solutions for decades when it comes to healthcare applications. Nevertheless, this architecture could not keep up with the ever-growing amount of biomedical data. One of the main drawbacks of cloud architecture is the large latency, which prevents it from delivering real-time alerts to save the patient's life in critical situations. In this context, edge and fog computing become good alternatives to reduce health data management complexity and latency and therefore increase their reliability. This paper proposes a review of the most recent healthcare applications based on edge and fog computing, respectively. The selected research works of this survey are classified into four categories depending on their use case application. Furthermore, a comparison study helps extract relevant insights from several recent papers in the current literature to highlight their methodologies and purposes. The main concern is to emphasize what features and properties are to be considered most when designing a distributed healthcare system in an edge-fog architecture. Finally, we present some challenges to be addressed in healthcare applications along with the uprising of new technologies.","","979-8-3503-3452-4","10.1109/FMEC57183.2022.10062841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10062841","Healthcare;Internet of Things (IoT);Internet of Medical Things (IoMT);architecture;cloud computing;edge computing;fog computing","Industries;Cloud computing;Privacy;Spectral efficiency;Medical services;Computer architecture;Real-time systems","cloud computing;data analysis;health care;Internet of Things;medical information systems","best-fit organizational infrastructure;biomedical data;cloud architecture;distributed healthcare system;edge-fog architecture;fog computing;health data management complexity;health data management latency;Internet of Medical Things;IoMT applications;IoT architectures;smart healthcare applications;use case application","","1","","29","IEEE","14 Mar 2023","","","IEEE","IEEE Conferences"
